creation_date,number_of_works,total_number_of_words
9/3/2011,274,1267331
9/4/2011,289,1333174
9/5/2011,349,2253031
9/6/2011,353,1505204
9/7/2011,237,1540307
9/8/2011,320,1993441
9/9/2011,372,1679901
9/10/2011,296,1999195
9/11/2011,347,2852904
9/12/2011,322,2816922
9/13/2011,289,1615920
9/14/2011,269,1358210
9/15/2011,238,1011679
9/16/2011,223,927948
9/17/2011,268,1323910
9/18/2011,227,1694839
9/19/2011,274,1577570
9/20/2011,246,1661776
9/21/2011,245,1507405
9/22/2011,265,1674274
9/23/2011,257,1272047
9/24/2011,280,1203196
9/25/2011,277,1443704
9/26/2011,338,1679636
9/27/2011,283,1338453
9/28/2011,311,1232456
9/29/2011,263,1051160
9/30/2011,416,2193564
10/1/2011,320,2185043
10/2/2011,229,1338465
10/3/2011,314,1860492
10/4/2011,305,1869058
10/5/2011,268,963212
10/6/2011,310,1495342
10/7/2011,208,1481856
10/8/2011,250,1258401
10/9/2011,343,1866843
10/10/2011,355,1746484
10/11/2011,334,1709060
10/12/2011,314,1255050
10/13/2011,239,1178517
10/14/2011,312,1179887
10/15/2011,345,1654348
10/16/2011,413,2395394
10/17/2011,259,1786996
10/18/2011,326,2058324
10/19/2011,322,1934563
10/20/2011,262,1641685
10/21/2011,281,1442786
10/22/2011,247,1439861
10/23/2011,342,2261354
10/24/2011,315,1426059
10/25/2011,259,1780111
10/26/2011,236,1225639
10/27/2011,274,1313466
10/28/2011,296,1332419
10/29/2011,285,1098142
